row,team,role_detail,assigned_level,reason
176,Red,Senior,PGY-4,assumed 'Senior' means most senior resident level
177,Red,EM1/OS,Off-Service,combo value — could be PGY-1 or Off-Service
178,Red,EM1/OS,Off-Service,combo value — could be PGY-1 or Off-Service
179,Red,EM1/2,PGY-1,range value — picked conservative low end
180,Red,EM2/3,PGY-2,range value — picked conservative low end
181,Red,EM1/OS,Off-Service,combo value — could be PGY-1 or Off-Service
186,FastTrack,EM1/OS-Red,Off-Service,combo value — could be PGY-1 or Off-Service
190,ERU,EM2/3,PGY-2,range value — picked conservative low end
191,ERU,EM2/3,PGY-2,range value — picked conservative low end
192,ERU,EM2/3,PGY-2,range value — picked conservative low end
193,ERU,EM1/OS,Off-Service,combo value — could be PGY-1 or Off-Service
197,Blue,EM3/4,PGY-3,range value — picked conservative low end
198,Blue,EM3/4,PGY-3,range value — picked conservative low end
204,Green,EM1/OS,Off-Service,combo value — could be PGY-1 or Off-Service
205,Green,EM1/OS,Off-Service,combo value — could be PGY-1 or Off-Service
210,Red,Senior,PGY-4,assumed 'Senior' means most senior resident level
211,Red,Senior,PGY-4,assumed 'Senior' means most senior resident level
212,Red,EM1/OS,Off-Service,combo value — could be PGY-1 or Off-Service
213,Red,EM1/OS,Off-Service,combo value — could be PGY-1 or Off-Service
216,Red,EM1/OS,Off-Service,combo value — could be PGY-1 or Off-Service
222,FastTrack,EM1/OS-Red,Off-Service,combo value — could be PGY-1 or Off-Service
226,ERU,EM3/4,PGY-3,range value — picked conservative low end
227,ERU,EM3/4,PGY-3,range value — picked conservative low end
228,ERU,EM3/4,PGY-3,range value — picked conservative low end
235,Green,EM1/OS,Off-Service,combo value — could be PGY-1 or Off-Service
236,Green,EM2/3,PGY-2,range value — picked conservative low end
240,Red,Senior,PGY-4,assumed 'Senior' means most senior resident level
241,Red,Senior,PGY-4,assumed 'Senior' means most senior resident level
242,Red,EM1/OS,Off-Service,combo value — could be PGY-1 or Off-Service
243,Red,EM1/OS,Off-Service,combo value — could be PGY-1 or Off-Service
246,Red,EM1/OS,Off-Service,combo value — could be PGY-1 or Off-Service
255,ERU,EM3/4,PGY-3,range value — picked conservative low end
256,ERU,EM3/4,PGY-3,range value — picked conservative low end
257,ERU,EM3/4,PGY-3,range value — picked conservative low end
